library,day,start_time,end_time
EB   ,tue,10:00:00,18:00:00
EB   ,wed,12:30:00,20:30:00
EB   ,thu,12:30:00,20:30:00
EB   ,fri,10:00:00,18:00:00
EB   ,sat,09:00:00,17:00:00
EG   ,mon,10:00:00,20:00:00
EG   ,tue,12:30:00,20:30:00
EG   ,wed,10:00:00,18:00:00
EG   ,thu,12:30:00,20:30:00
EG   ,fri,10:00:00,18:00:00
EG   ,sat,09:00:00,17:00:00
FV   ,mon,09:00:00,20:00:00
FV   ,tue,09:00:00,20:00:00
FV   ,wed,09:00:00,20:00:00
FV   ,thu,09:00:00,20:00:00
FV   ,fri,09:00:00,20:00:00
FV   ,sat,09:00:00,17:00:00
FV   ,sun,13:30:00,17:30:00
FP   ,tue,12:30:00,20:30:00
FP   ,wed,10:00:00,18:00:00
FP   ,thu,12:30:00,20:30:00
FP   ,fri,10:00:00,18:00:00
FP   ,sat,09:00:00,17:00:00
FP   ,sun,13:30:00,17:30:00
FH   ,mon,09:00:00,20:00:00
FH   ,tue,09:00:00,20:00:00
FH   ,wed,09:00:00,20:00:00
FH   ,thu,09:00:00,20:00:00
FH   ,fri,09:00:00,17:00:00
FH   ,sat,09:00:00,17:00:00
FO   ,mon,09:00:00,20:00:00
FO   ,tue,09:00:00,20:00:00
FO   ,wed,09:00:00,20:00:00
FO   ,thu,09:00:00,20:00:00
FO   ,fri,09:00:00,17:00:00
FO   ,sat,09:00:00,17:00:00
FO   ,sun,13:30:00,17:30:00
GE   ,mon,10:00:00,20:00:00
GE   ,tue,12:30:00,20:30:00
GE   ,wed,10:00:00,18:00:00
GE   ,thu,12:30:00,20:30:00
GE   ,fri,10:00:00,18:00:00
GE   ,sat,09:00:00,17:00:00
GHP  ,mon,09:00:00,20:00:00
GHP  ,tue,09:00:00,20:00:00
GHP  ,wed,09:00:00,20:00:00
GHP  ,thu,09:00:00,20:00:00
GHP  ,fri,09:00:00,17:00:00
GHP  ,sat,09:00:00,17:00:00
GHP  ,sun,13:30:00,17:30:00
GW   ,tue,12:30:00,20:30:00
GW   ,wed,10:00:00,18:00:00
GW   ,thu,12:30:00,20:30:00
GW   ,fri,10:00:00,18:00:00
GW   ,sat,09:00:00,17:00:00
HP   ,mon,09:00:00,20:00:00
HP   ,tue,09:00:00,20:00:00
HP   ,wed,09:00:00,20:00:00
HP   ,thu,09:00:00,20:00:00
HP   ,fri,09:00:00,17:00:00
HP   ,sat,09:00:00,17:00:00
HC   ,tue,12:30:00,20:30:00
HC   ,wed,10:00:00,18:00:00
HC   ,thu,12:30:00,20:30:00
HC   ,fri,10:00:00,18:00:00
HC   ,sat,09:00:00,17:00:00
HIL  ,tue,12:30:00,20:30:00
HIL  ,wed,10:00:00,18:00:00
HIL  ,thu,12:30:00,20:30:00
HIL  ,fri,10:00:00,18:00:00
HIL  ,sat,09:00:00,17:00:00
HB   ,tue,10:00:00,18:00:00
HB   ,wed,12:30:00,20:30:00
HB   ,thu,12:30:00,20:30:00
HB   ,fri,10:00:00,18:00:00
HB   ,sat,09:00:00,17:00:00
HS   ,tue,12:30:00,20:30:00
HS   ,wed,10:00:00,18:00:00
HS   ,thu,12:30:00,20:30:00
HS   ,fri,10:00:00,18:00:00
HS   ,sat,09:00:00,17:00:00
HW   ,tue,12:30:00,20:30:00
HW   ,wed,10:00:00,18:00:00
HW   ,thu,12:30:00,20:30:00
HW   ,fri,10:00:00,18:00:00
HW   ,sat,09:00:00,17:00:00
JD   ,mon,09:00:00,20:00:00
JD   ,tue,09:00:00,20:00:00
JD   ,wed,09:00:00,20:00:00
JD   ,thu,09:00:00,20:00:00
JD   ,fri,09:00:00,17:00:00
JD   ,sat,09:00:00,17:00:00
JD   ,sun,13:30:00,17:30:00
JS   ,mon,10:00:00,20:00:00
JS   ,tue,12:30:00,20:30:00
JS   ,wed,10:00:00,18:00:00
JS   ,thu,12:30:00,20:30:00
JS   ,fri,10:00:00,18:00:00
JS   ,sat,09:00:00,17:00:00
JO   ,mon,10:00:00,18:00:00
JO   ,tue,10:00:00,20:00:00
JO   ,wed,12:30:00,20:30:00
JO   ,thu,12:30:00,20:30:00
JO   ,fri,10:00:00,18:00:00
JO   ,sat,09:00:00,17:00:00
KE   ,tue,12:30:00,20:30:00
KE   ,wed,10:00:00,18:00:00
KE   ,thu,12:30:00,20:30:00
KE   ,fri,10:00:00,18:00:00
KE   ,sat,09:00:00,17:00:00
LE   ,mon,09:00:00,20:00:00
LE   ,tue,09:00:00,20:00:00
LE   ,wed,09:00:00,20:00:00
LE   ,thu,09:00:00,20:00:00
